dataset,n_cases,n_low_risk,n_high_risk,seed_count_expected,seed_count_min_per_case,seed_count_max_per_case,mean_seed_oof_c_index,std_seed_oof_c_index,mean_seed_fold_c_index_test,std_seed_fold_c_index_test,ensemble_oof_c_index,risk_cutoff,risk_split_note,merge_note,logrank_chi2,logrank_p,median_survival_low,median_survival_high
CRC,269,134,135,5,5,5,0.7511603740907515,0.030087154165793162,0.7756624698050587,0.014631242378561643,0.78472462764115,0.004906404938083142,median_ge_cutoff,all_cases_have_all_seeds,14.839894570930088,0.00011703343938740664,,
HNSC,385,192,193,5,5,5,0.5793360504406591,0.01461246924014851,0.5825366663883036,0.01610752105393596,0.584491587417703,0.02042000853107311,median_ge_cutoff,all_cases_have_all_seeds,3.2764907529255183,0.07027904998836473,,7.036276522929501
KIRC,328,164,164,5,5,5,0.7383111873124732,0.015143741774346362,0.7545391959838563,0.014016172113665388,0.7581654522074582,0.0023089687194442375,median_ge_cutoff,all_cases_have_all_seeds,34.47314078610299,4.321740016957889e-09,,
LUAD,391,195,196,5,5,5,0.6539084727781261,0.009091540271774067,0.6604081633727832,0.013788300601359448,0.6669720788928003,0.015227996499743313,median_ge_cutoff,all_cases_have_all_seeds,16.57305026146884,4.681152085738095e-05,,3.890485968514716
STAD,253,126,127,5,5,5,0.5961384553821529,0.024505761154851962,0.5977320130698308,0.02806467182415799,0.6249499799919968,0.038086061761714515,median_ge_cutoff,all_cases_have_all_seeds,9.88236605269951,0.001668702259574123,,3.542778918548939
